bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-031_task-vni_run-01_bold	0.002694380833851898	0.015066431362787803	1	26.048981335292684	1.2218535912515573	1.0297467384993761	0.36945340981457764	16274.193359375	0.07796935123711414	22	1.3690105787181084	1.7220615143691198	1.6205084802051395	1.8873060629022205	1.65837	0.0121843	-0.023805534467101097	0.010682955384254456	1607	82	82	56	8.130852719791159	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	52.63571257274703	18.202242462028217	92.00546264648438	23.72930908203125	293924.0	8.628500938415527	438.5778411865234	228.82528686523438	2.8695787776418493	337.18794022325187	3039.238037109375	3035.464599609375	32354.0	2474.4579467773438	3627.3562744140627	373.3209533691406	52.21232853946276
sub-031_task-vni_run-02_bold	0.00018429283489096573	0.01349071969470405	3	25.81234205862215	1.1717943661408978	0.9745539646072319	0.3699883735652985	16115.3583984375	0.06973282268358544	15	0.9345794392523364	1.7330505825176592	1.6216988027949395	1.9049096114247046	1.6725433333333333	0.0114111	-0.023907393217086792	0.010602006688714027	1605	82	82	56	8.176054158221305	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	51.32296455540797	17.983364164288986	92.59077453613281	23.811838150024414	293893.0	8.957632064819336	445.1618469238281	230.1815643310547	3.016220507017594	336.10078305448195	3038.47998046875	3038.098388671875	32299.0	2471.427001953125	3614.7946533203126	371.57916259765625	55.68312781420536
sub-031_task-vni_run-03_bold	0.0004898754669987546	0.02156990709838107	2	28.36485709909663	1.2317221813084152	0.963507049489097	0.36983389321441257	16251.6708984375	0.08609919478977532	54	3.3623910336239105	1.7204306899782205	1.6165638834006086	1.884174853200719	1.6605533333333333	0.00947195	-0.02321510948240757	0.011334873735904694	1606	82	82	56	8.297538566889463	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	40.747864757348886	18.649767121458694	92.00822448730469	23.882314682006836	293877.0	8.317559242248535	444.0597595214852	223.00439453125	3.114979808089835	326.91306525362074	3049.112060546875	3048.8642578125	32225.0	2486.88759765625	3615.2792968749995	367.4363098144531	44.96181477815844
sub-032_task-vni_run-01_bold	0.0004391028037383178	0.010992053595015575	3	30.980479039407708	1.4165886591708199	0.9946260363653358	0.3862185409660277	28727.66796875	0.07447007851514258	15	0.9345794392523364	1.7451867742691254	1.6716592870501494	1.85307436909056	1.7108266666666667	0.0139443	-0.017259394749999046	0.013688841834664345	1605	82	82	56	8.21213345480671	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	37.688424595690186	17.28593698200021	104.18589782714844	21.948909759521484	284788.0	8.497196197509766	496.50649566650344	271.08843994140625	3.0789869644017527	403.34942618749665	3727.4853515625	3711.2890625	39638.0	3078.180444335938	4460.9798583984375	451.92181396484375	65.62988633476198
sub-032_task-vni_run-02_bold	0.00605175187032419	0.02093833019326683	4	30.183811614934545	1.4067983771490953	1.0553917684716174	0.3902566914261264	27858.1015625	0.09927940798247115	63	3.9276807980049875	1.765705752944452	1.6850867871534192	1.9101338050132703	1.7018966666666666	0.014293	-0.01750621572136879	0.014764445833861828	1604	82	82	56	8.287623300643935	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	34.71938314624045	17.960376658501648	107.72238159179688	22.182044982910156	284221.0	8.32543659210205	518.34912109375	275.03289794921875	3.344997281532346	386.67105613788925	3684.325927734375	3673.20263671875	40197.0	3032.0304687499997	4398.073925781249	443.2099304199219	47.65684240264818
sub-032_task-vni_run-03_bold	0.0007542439327940261	0.01706639446172993	1	31.87456944994395	1.3857718963138235	0.9677096662328791	0.3893908887133077	29363.59765625	0.09425494951331516	52	3.235843186060983	1.8052813086671315	1.7107779163832657	1.949632676284795	1.7554333333333334	0.0155629	-0.01621084287762642	0.016299325972795486	1607	82	82	56	8.229854848593485	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	41.07205152252452	16.544808370945592	102.47999572753906	21.378345489501953	283619.0	8.459240913391113	490.94736633300727	266.6580505371094	3.3790123601226343	387.9361183336112	3683.251220703125	3672.560791015625	40511.0	3024.949951171875	4400.64599609375	446.2430419921875	52.191002514446154
sub-033_task-vni_run-01_bold	0.0031678544776119408	0.011383492524875622	0	27.240602563279424	1.2559866623584333	1.04234297165526	0.3838427664222628	20039.458984375	0.10021210724147521	82	5.099502487562189	1.8130019808482507	1.750319771526089	1.9639628376853302	1.7247233333333334	0.0145487	-0.02156592160463333	0.02489302307367325	1608	82	82	56	7.460134959862086	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	30.386225488195045	18.586928290132168	107.08465576171875	23.147388458251953	289703.0	8.227611541748047	515.1650329589843	264.41693115234375	2.818335006966432	396.63446157406725	3295.573974609375	3277.29052734375	36306.0	2641.2202758789062	3994.6810913085938	439.30108642578125	53.0047587454319
sub-033_task-vni_run-02_bold	0.0006125264467952707	0.008438488238954574	1	27.567734688574046	1.2555449096948956	1.012258677714817	0.38412222556053544	19995.365234375	0.09095881703837566	68	4.231487243310516	1.8037197226996813	1.725580900368082	1.9559149343976276	1.7296633333333336	0.0200939	-0.02188696712255478	0.025801317766308784	1607	82	82	56	7.505719982896322	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	30.76277365686864	17.742330452480697	106.47813415527344	23.06222915649414	289726.0	8.686994552612305	513.4317321777344	263.8475341796875	3.001626821122241	394.2947299479881	3292.323974609375	3278.397705078125	36252.0	2639.63076171875	3981.7380859374985	436.7805480957031	62.173802350182086
sub-033_task-vni_run-03_bold	0.0005891915422885571	0.009563929919154227	0	27.44599356352202	1.2518895274113266	1.0076079159800861	0.38481997472413565	19415.947265625	0.09096583093989237	51	3.171641791044776	1.8170608070037249	1.7453964650366112	1.9652192893078966	1.7405666666666668	0.0142067	-0.021803393959999084	0.026501988992094994	1608	82	82	56	7.515651324534768	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	31.31856883710296	18.373481564756208	105.48738098144531	23.325559616088867	289318.0	8.360696792602539	510.5315795898431	259.27484130859375	3.001269514089347	390.5411691555313	3281.87451171875	3267.883544921875	36347.0	2634.9559326171875	3967.7367431640623	434.804443359375	57.40745351067744
sub-034_task-vni_run-01_bold	0.0011450062189054726	0.013751802866915422	0	28.828490031213455	1.3509047283820785	0.9971920306222776	0.37246824028531733	27856.3359375	0.07668148077799444	34	2.1144278606965172	1.711881630685137	1.5952075122686165	1.845734046453461	1.6947033333333332	0.0198094	-0.026892855763435364	0.023165687918663025	1608	82	82	56	7.935544050963998	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	57.22702074127259	14.52267844787301	84.80888366699219	20.35385513305664	288161.0	8.266168594360352	382.42474365234375	222.94593811035156	3.2048614397908928	373.9042439189168	3436.46435546875	3407.580810546875	37723.0	2862.806005859375	4171.41298828125	429.4016418457031	57.98729197634384
